FIPS,selection_ratio,ci,urban_code,incidents,frequency,black,white,bwratio,year,cat,slci,selection_ratio_log10
08037,1.5870082169026678,1.108297294055815,5,276,"41,944",4126.5,373369.5,0.011,2012,Low confidence,1.587 ± 1.108,0.200579175366221
08039,10.772266519421056,11.916730440613254,2,14,"19,282",528.0,76600.0,0.007,2012,Low confidence,10.772 ± 11.917,1.032307089864055
08041,2.523202175301485,0.4060882561224425,3,955,"488,007",624240.0,8159895.0,0.077,2012,S>2,2.523 ± 0.406,0.40195205039867676
08043,0.3307859276209558,0.3362679200262577,5,106,"39,972",5535.0,114382.5,0.048,2012,S<1,0.331 ± 0.336,-0.4804529745927799
08045,1.7142709436785804,1.3227083057712663,5,204,"44,130",5070.0,436235.0,0.012,2012,Low confidence,1.714 ± 1.323,0.23407946405456315
08047,3.0962137406137207,,2,97,"4,560",134.0,18108.0,0.007,2012,Low confidence,3.096 ± nan,0.49083093365329267
08049,9.34339525463952,10.274813283348498,6,15,"12,012",405.0,71667.0,0.006,2012,Low confidence,9.343 ± 10.275,0.9705047212417451
08051,7.155868951465346,6.643736711696891,6,35,"12,796",536.0,101832.0,0.005,2012,Low confidence,7.156 ± 6.644,0.8546623785447763
08053,14.64634890802168,,6,1,668,3.0,665.5,0.005,2012,Low confidence,14.646 ± nan,1.1657293757672136
08055,10.31466680570554,10.07839016735269,6,12,"5,356",166.0,21258.0,0.008,2012,Low confidence,10.315 ± 10.078,1.0134552035374156
08057,10.720773523984828,14.68072980500236,6,1,"1,134",1.5,3400.5,0.0,2012,Low confidence,10.721 ± 14.681,1.030226121651405
08059,2.626389916289883,0.660619557249911,2,1517,"440,076",112948.5,9128658.0,0.012,2012,S>1,2.626 ± 0.661,0.41935920230273827
08061,10.42654252532365,14.27868478151626,6,1,"1,173",9.0,2337.0,0.004,2012,Low confidence,10.427 ± 14.279,1.0181403188668816
08063,4.375465173658331,4.4633873420024806,6,16,"6,574",678.0,25620.0,0.026,2012,Low confidence,4.375 ± 4.463,0.6410242314414514
08065,5.756048058468523,6.285915592287101,6,16,"5,722",63.0,11382.0,0.006,2012,Low confidence,5.756 ± 6.286,0.7601244112966311
08067,15.74516647697734,17.33924918573224,5,15,"41,096",2684.5,531563.5,0.005,2012,Low confidence,15.745 ± 17.339,1.197147256884306
08069,4.213197481983511,1.100478397279394,3,951,"252,538",32103.5,3250897.0,0.01,2012,S>2,4.213 ± 1.1,0.6246118159570582
08071,7.177136063015511,8.235385136225034,6,9,"12,094",1431.5,83230.0,0.017,2012,Low confidence,7.177 ± 8.235,0.855951179596772
08075,2.059170182213664,1.701330101050844,5,44,"18,780",5184.0,107499.0,0.048,2012,Low confidence,2.059 ± 1.701,0.3136922408103956
08077,4.129353760525039,1.2610990273295242,4,659,"118,349",16422.0,1995519.5,0.008,2012,S>2,4.129 ± 1.261,0.6158820903493366
